Verb	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
give	553359	2437	2478	Course of Mathematics		MAG	1821	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	2	Singular	Singular
give	748086	63225	63247	A view of the Constitution of the United States of America	William Rawle	NF	1829	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	553593	760	776	Emigration to Africa and Hayti		MAG	1825	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Definite	2	Singular	Plural
give	747651	104149	104188	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	553959	2640	2664	Heeren's Historical Works		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Plural
give	9763	24960	24971	The Novels . . 		FIC	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Plural	Singular
give	747582	38389	38450	"The Crisis: Or, Essays on the Usurpations of the Federal Government"	Brutus Robert James Turnbull	NF	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-3	Plural	Singular
give	748086	18366	18379	A view of the Constitution of the United States of America	William Rawle	NF	1829	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	747573	15122	15154	"Female Scripture Biographies, Volume I"	Francis Augustus Cox	NF	1817	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	553952	5626	5672	Austin's Life of Gerry		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	0	Plural	Singular
give	9758	63569	63608	The Novels . . 		FIC	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-5	Plural	Singular
give	553793	6241	6273	Cardozo's Notes on Political Economy		MAG	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
give	553976	4621	4696	Massachusetts Rail Road		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	553482	1628	1684	Miss Edgeworth		MAG	1823	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	0	Singular	Singular
give	553788	2109	2144	Diplomacy of the United States		MAG	1827	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-3	Singular	Singular
give	751465	24732	24755	Chronicle of the Conquest of Granada	"Irving, Washington, 1783-1859"	NF	1829	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	6	Singular	Singular
give	553970	4159	4190	History of the Louisiana Treaty		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	1	Singular	Singular
give	553914	10544	10573	Captain Hall's Voyage to the Eastern Seas		MAG	1828	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	2	Singular	Singular
give	553961	1439	1453	Saxe-Weimar's Travels		MAG	1829	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	553850	2281	2375	Conventions for Adopting the Federal Constitution		MAG	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	553739	4420	4482	Popular Education		MAG	1826	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Plural	Singular
give	7275	74971	74990	A New-England Tale		FIC	1822	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	747651	14817	14828	"The Federalist, on the new Constitution, written in 1788, by Mr. Hamilton, Mr. Madison, and Mr. Jay: with an appendix, containing the letters of Pacif"	"Alexander Hamilton, James Madison, John Jay"	NF	1817	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Plural
give	554057	9061	9143	Politics of Europe		MAG	1830	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-5	Singular	Singular
give	553698	7489	7542	Claims for French Spoilations		MAG	1826	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-5	Singular	Plural
offer	394274	3666	3699	PETER PAN TURNS 100	"Allen, Norman"	MAG	2004	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-1	Plural	Singular
offer	668193	361	387	GLOBETROTTING; BARGAINS IN THE SKY; [FIRST Edition]	Jerry Morris Globe Staff	NEWS	1981	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	5	Plural	Singular
offer	416769	1086	1106	Probing the birth of starlight	Adam Frank	MAG	2001	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	5	Singular	Singular
offer	420874	1005	1019	Fixing broken CLASS	Paul Attner	MAG	2005	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	1	Singular	Singular
offer	776266	6783	6821	So what :the life of Miles Davis	"Szwed, John F., 1936-"	NF	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	4	Singular	Singular
offer	660097	523	545	Commuting coast to coast	Marilyn Gardner Staff writer of The Christian Science Monitor	NEWS	2001	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	10690	249251	249304	True Love		FIC	1982	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	7	Singular	Singular
offer	661947	3944	3957	Managing Editors:; Editors:		NEWS	2001	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	1	Plural	Plural
offer	669910	1212	1230	Bond Prices Are Pushed Down by News Of $500 Million Drop in Money Supply	By Edward P. Foldessy and Tom Herman	NEWS	1985	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	8	Plural	Singular
offer	746695	4449	4488	Providing access to linguistically diverse students	"Ellis, Patricia<BR>Stebbins, Consuelo"	NF	1996	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Definite	3	Plural	Singular
offer	640210	1213	1245	SUPER BOWL XXXVIII - SPOTLIGHT ON JAKE DELHOMME Pride spans Breaux Bridge Panthers quarterback more popular than crawfish in small Louisiana hometown	"Anthony Cotton , Denver Post Sports Writer"	NEWS	2004	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
offer	432450	2445	2468	How Disney Does It	Charles Leerhsen	MAG	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Plural
offer	30240	201	259	Samaritan /	"Price, Richard, 1949- "	FIC	2003	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	2	Singular	Singular
offer	405371	0	43	Rape Kits in Cold Storage	Amy Goodwin	MAG	2009	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	10	Plural	Singular
offer	43413	472	487	The boxcar adventure	Gertrude C Warner	FIC	1998	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Singular	Plural
offer	378795	93	126	B.Y.U. in Zion		MAG	1986	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	487730	1660	1684	The Fifth Remembered	"Aronson, James"	MAG	1986	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Definite	1	Plural	Singular
offer	16254	11523	11536	Medicine Man	"Schulman, Tom, fl. 1986-2003"	FIC	1992	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-2	Singular	Singular
offer	641066	1295	1305	College chiefs^ pay debated Raise of CSU^s Yates tops list	"J. Sebastian Sinisi, Denver Post Staff Writer"	NEWS	1994	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	3	Singular	Singular
offer	29558	3028	3055	Envy /	"Brown, Sandra, 1948- "	FIC	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-2	Singular	Plural
offer	387286	304	314	An American Portrait	"Harnden, Toby"	MAG	2003	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-3	Singular	Singular
offer	322511	269	284	[Milestones]		MAG	1983	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	388995	3473	3511	Old soldiers	Tony Hendra	MAG	1997	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-4	Plural	Singular
offer	773918	19500	19520	"Philosophy: An Introduction Through Original Fiction, Discussion, and Readings"	Thomas D. Davis	NF	1987	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
offer	27741	2525	2564	Timbuktu : a novel /	"Auster, Paul, 1947- "	FIC	2000	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	3	Singular	Singular
offer	492478	2271	2357	Dare to dialogue on cancer	"Ser Vaas, C."	MAG	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	412970	579	591	The stuff of legends	Peter Haldeman	MAG	2000	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	5	Singular	Singular
offer	746143	696	734	A Critique of Faith-based Prison Programs		NF	2005	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	5	Plural	Singular
offer	322912	122	131	School Days at Prudential High		MAG	1984	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	0	Plural	Singular
offer	746570	878	909	Developing a corporate culture for the maximum balance between the utilization of human resources..	"Lidstad, Richard"	NF	1996	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	0	Plural	Plural
offer	10675	37520	37561	Lion of Ireland		FIC	1981	Passive	Noun	Noun	NoTo	AccDat	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	671277	24	152	REAGAN SAYS CUBA AIMED TO TAKE GRENADA; BASTION REPORTED TO FALL; BATTLE GOES ON	"By STEVEN V. ROBERTS, Special to the New York Times"	NEWS	1983	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-2	Singular	Singular
offer	773425	9013	9033	The Jews in America	Arthur Hertzberg	NF	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	38624	4621	4656	The neon heart murders		FIC	2000	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Plural	Plural
offer	432247	1173	1194	How the World Views America	Stewart Powell	MAG	1985	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	4	Plural	Singular
offer	432437	1560	1582	Shelley Winters's Tell-All Book	Shelley Winters	MAG	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	1	Singular	Singular
offer	669312	302	349	Investing	"By Marilyn Hoffman, Staff correspondent of The christian Science Monitor"	NEWS	1980	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	1	Plural	Singular
offer	355408	101	118	RISING REPUBLICANS		MAG	1996	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	425226	4074	4095	Down and out	"Meacham, Jon"	MAG	1993	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	11	Singular	Singular
offer	432450	2951	2967	How Disney Does It	Charles Leerhsen	MAG	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-8	Plural	Plural
offer	359503	304	318	The Things Kids Say	JULIE GRACE	MAG	1998	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Plural	Plural
offer	10709	18966	18985	Hollywood Wives		FIC	1983	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	1	Singular	Singular
offer	623939	925	952	Eating in Bed; ; SoMa^s Supperclub serves up good food in fantastical atmosphere; 	Michael Bauer	NEWS	2005	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Singular
offer	888	32886	32915	Mark Twain's Letters — Volume 1 (1835-1866)	"Twain, Mark, 1835-1910"	FIC	1988	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-1	Singular	Plural
offer	44640	12869	12908	The secret history of the Ornithopter	Jan Lars Jensen	FIC	1999	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Plural
offer	625861	1235	1259	Increased hunting opportunity part of proposed rule changes; 	SHANNON TOMPKINS; Staff	NEWS	1996	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	4	Singular	Singular
offer	776565	24844	24875	1776	"McCullough, David G."	NF	2005	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	5	Singular	Singular
offer	128902	1051	1066	WARNING: 'HOOPS' MAY BE ADDICTIVE		MAG	1987	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-2	Plural	Singular
offer	638648	122	139	MIKE SHANAHAN MAN WITH A PLAN Denver job perfect fit for new coach	"Jim Armstrong, Denver Post Sports Writer"	NEWS	1995	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	3	Singular	Singular
offer	643046	199	239	School Records on Special English Classes Are Called Works of Fiction by Critics		NEWS	2007	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	1	Plural	Plural
offer	480700	716	753	Readings		MAG	1986	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	11	Singular	Singular
offer	668547	218	249	DEA CHIEF WARNS DRUG SMUGGLERS	Associated Press	NEWS	1983	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	4	Plural	Singular
offer	773867	20225	20239	Alternative Healing	Mark Kastner & Hugh Burrows	NF	1993	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	5	Singular	Singular
offer	670247	479	505	Bergen Brunswig Panel Rejects Offer By Founders to Sell Controlling Stake	By Sonia L. Nazario	NEWS	1988	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	5	Plural	Singular
offer	32505	7445	7465	"Tea with terrorists : who they are, why they kill, what will stop them /"	"Winn, Craig.  Power, Ken. "	FIC	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Plural	Singular
offer	607688	938	960	Philadelphia School Questioned;	"Mark Schlabach, Washington Post Staff Writer"	NEWS	2006	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-5	Singular	Plural
offer	415623	3181	3204	Letter from Ground Zero	"Bartlett, Sarah"	MAG	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	10687	27206	27225	Dean's December		FIC	1982	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	-2	Singular	Singular
offer	747179	1606	1626	Containing Russia	"Tymoshenko, Yuliya"	NF	2007	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	5	Singular	Singular
offer	735070	241	290	Acts of Love and Compassion in the Soviet Gulag	ROBERT KAGAN	NEWS	1981	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Plural	Plural
offer	354810	437	479	A HEALTHY MERGER?	JILL SMOLOWE	MAG	1996	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Singular
offer	773732	11923	11962	"Cooking, Cuisine and Class"	Jack Goody	NF	1982	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Plural	Plural
offer	28214	111	141	The beach house : a novel /	"Patterson, James, 1947-  De Jonge, Peter. "	FIC	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	3	Singular	Singular
offer	671216	904	945	PRESIDENT REAGAN^S ADDRESS ON CENTRAL AMERICA TO JOINT SESSION OF CONGRESS		NEWS	1983	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-2	Singular	Singular
offer	671429	681	773	CRITIC^S NOTEBOOK; LITERARY BAIT FOR A MAIL ORDER HOOK	By CHRISTOPHER LEHMANN-HAUPT	NEWS	1985	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-6	Singular	Singular
offer	773947	90	117	The Territorial Army 1906-1940	Peter Dennis	NF	1987	Passive	Noun	Noun	NoTo	AccDat	Animate	Inanimate	Indefinite	Definite	5	Plural	Singular
offer	669023	400	407	"`Firsts' not exactly a new phenomenon; [NORTH SPORTS FINAL, C Edition]"	William Gruber.	NEWS	1989	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-1	Plural	Plural
offer	776565	16934	16962	1776	"McCullough, David G."	NF	2005	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	6	Singular	Singular
offer	432196	3162	3190	They're Killing Off the Rhino	Esmond Bradley Martin	MAG	1984	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Plural	Plural
offer	735282	697	733	Allen &amp; Co.'s Lucrative Ties to Columbia Seen Continuing After Coke Acquisition	STEPHEN J. SANSWEET Staff Reporter of 	NEWS	1982	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Indefinite	Indefinite	2	Singular	Singular
offer	773630	26014	26051	Antique Collecting: A Sensible Guide to It's Art and Mystery	Timothy Trent Blade	NF	1989	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-1	Singular	Plural
offer	670072	1532	1546	Fed Reduces Discount Rate Half Point to 6% --- Sluggish Economy Is Cited; Pressure Rises for Allies To Boost Their Growth	By Tom Herman and Paul Blustein	NEWS	1986	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	3	Plural	Plural
offer	613518	421	464	PEACH BUZZ TALK OF OUR TOWN Aaron can^t escape those autographs	By Don O'Briant	NEWS	1993	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	0	Plural	Singular
offer	746908	1026	1076	Futile Treatment and the Health Services Manager	"Darr, Kurt"	NF	2000	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	492167	2635	2676	ALCOHOLICS ANONYMOUS CELEBRATES ITS 50TH YEAR	"Edmeades, Baz"	MAG	1985	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	16	Singular	Singular
offer	334248	517	548	Freedom Of Choice		MAG	1987	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-1	Plural	Plural
offer	343862	460	490	Passing The Late-Night Crown	RICHARD CORLISS	MAG	1991	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Singular	Plural
offer	10746	45762	45800	Dark of the Moon		FIC	1986	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	670997	27	62	JAPAN^S FOREIGN UNPOLICY; News Analysis	"By HENRY SCOTT STOKES, Special to the New York Times"	NEWS	1981	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	53811	5068	5077	Balance	"Davis, Claire"	FIC	1993	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	4	Singular	Singular
offer	407768	802	817	Diggin' Boston now	Christina Ianzito	MAG	2003	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	670075	500	523	GE Abandons Joint Venture By RCA Unit --- Construction of a Facility With Sharp Is Canceled; Severance Plan Outlined	By Janet Guyon	NEWS	1986	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-3	Plural	Plural
offer	773757	8924	8939	Thinking Sociologically	Zygmunt Bauman	NF	1990	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	-3	Singular	Singular
offer	746170	1716	1738	Mood Alterations in Mindful Versus Aerobic Exercise Modes		NF	2003	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	11	Singular	Plural
offer	10756	147861	147871	Captive Bride		FIC	1987	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	1	Singular	Singular
offer	384378	5163	5194	Mission of the Avant-Garde	Roni Feinstein	MAG	2006	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	13	Plural	Singular
offer	670158	864	889	Bonds Post Second Consecutive Decline As Lack of Activity Brings Complaints	By Matthew Winkler and Tom Herman	NEWS	1987	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	13	Plural	Plural
offer	780043	45547	45590	Texas	James Michener	FIC	1985	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	0	Singular	Plural
offer	373979	354	378	"Pigs, Dentures and King Charles II"	HEATHER WON TESORIERO	MAG	2002	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Singular
offer	409086	3420	3450	Let's turn organizations into markets!		MAG	1994	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
offer	392033	3069	3127	The dragon style in Norwegian decoration	Widar Halen	MAG	1997	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Singular	Plural
give	747137	2676	2713	Helping Children Transition from Kindergarten to First Grade	"Sink, Christopher A.<SUP>1</SUP><CITE> csink@spu.edu</CITE><BR>Edwards, Cher N.<SUP>2</SUP><BR>Weir,"	NF	2007	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-1	Plural	Singular
give	374479	244	267	The Lure Of The Little Label	KATE BETTS	MAG	2003	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	2	Plural	Singular
give	747134	3214	3405	RHETORIC VERSUS PRACTICE IN CZECH DRUG POLICY	"Radimecká, Josef<SUP>1,2</SUP>"	NF	2007	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	-1	Singular	Singular
give	774816	10750	10770	The irregulars :Roald Dahl and the British spy ring in wartime Washington	"Conant, Jennet."	NF	2008	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	776758	2325	2364	The Peloponnesian War	"Kagan, Donald."	NF	2003	Passive	Noun	Noun	NoTo	AccDat	Animate	Inanimate	Definite	Definite	1	Plural	Plural
give	746899	319	356	"NEHA's 2003 Annual Educational Conference and Exhibition--Reno, Nevada"	"Benn, Kristin<BR>Miller, Julia<BR>Eils, Larry M."	NF	2003	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-5	Plural	Singular
give	36654	3018	3061	Neptune Avenue :a Jack Leightner crime novel	"Cohen, Gabriel, 1961-"	FIC	2009	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	627694	5100	5139	HISTORY ON THE LINE;; Preservation law is under city^s review; 	RACHEL GRAVES	NEWS	2001	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Definite	Indefinite	-1	Plural	Singular
give	746596	5827	5915	NUCLEAR POWER RATE REGULATION AFTER EASTERN ENTERPRISES: ARE RATEPAYERS BEING TAKEN FOR A RIDE?	"Watkins, Claire A."	NF	2000	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Definite	Indefinite	-4	Singular	Singular
give	27548	920	948	This cold country /	"Davis-Goff, Annabel. "	FIC	2003	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Definite	Indefinite	-1	Plural	Plural
give	641854	862	884	DYING TO TESTIFY Aid disparity leaves some witnesses in lurch LAST IN A SERIES&gt;&gt; LaToya Ray is in a new city but feels more abandoned than prote	David Olinger The Denver Post	NEWS	2007	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-2	Singular	Singular
give	374585	343	378	Greatest Hitmaker	JOSH TYRANGIEL	MAG	2003	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
give	393180	5927	5945	Letter from Egypt	P J O'Rourke	MAG	2002	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-2	Singular	Singular
give	394275	1085	1119	Treasure Quest	"Behar, Michael"	MAG	2004	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	3	Singular	Singular
give	776018	1371	1395	We are Lincoln men :Abraham Lincoln and his friends	"Donald, David Herbert, 1920-2009."	NF	2003	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
give	385540	813	840	TRADING FACES	"Wilson, Jim"	MAG	2003	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-4	Plural	Singular
give	405368	44	62	letters	Anonymous	MAG	2009	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Plural	Singular
give	747139	4745	4778	Preparing Inner-City Adolescents to Transition into High School	"Turner, Sherri L.<SUP>1</SUP><CITE>turne047@umn.edu</CITE>"	NF	2007	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-16	Plural	Singular
give	618143	1568	1584	Community Bulletin Board	Staff	NEWS	2006	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	-9	Plural	Singular
give	389382	6548	6556	Gun Test '07	Jim Carmichel	MAG	2007	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
give	618090	1204	1230	"JOURNAL-CONSTITUTION SPECIAL REPORT; Cabinet official is primary user of CDC jet; The secretary^s trips, mostly to news conferences and other media ev"	ALISON YOUNG	NEWS	2006	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-4	Singular	Singular
give	388231	19	52	What's Wrong With Our Flu Vaccine Supply? (cover story)	"Adrianson, Alex"	MAG	2004	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-13	Singular	Singular
give	414088	669	693	Inside the Private World of Allen &amp; Co	Carol J Loomis	MAG	2004	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	-3	Singular	Singular
